center,area,orientation,poly,id,potential_output
"(11.275473208079953, 48.184254595953284)",277.10473043005913,,"[(11.2755193, 48.1842446), (11.2755317, 48.1842203), (11.2755619, 48.1841607), (11.2754409, 48.1841335), (11.2753437, 48.1843253), (11.2754721, 48.1843542), (11.2754888, 48.1843214), (11.2755696, 48.1843396), (11.2756077, 48.1842645), (11.2755193, 48.1842446)]",oberbayern-houses_166,42272.32662710552
"(11.65657479207977, 48.0696807029591)",281.24474646919407,,"[(11.6567252, 48.0696273), (11.6564322, 48.0696185), (11.6564244, 48.0697341), (11.6565737, 48.0697386), (11.6567174, 48.0697429), (11.6567183, 48.0697291), (11.6567252, 48.0696273)]",oberbayern-houses_177,42271.08539431987
"(11.4740785, 48.73309809999999)",281.5863159894943,,"[(11.4741355, 48.7332014), (11.4742061, 48.7330274), (11.4740215, 48.7329948), (11.4739509, 48.7331688), (11.4741355, 48.7332014)]",oberbayern-houses_367,42037.31714828163
"(11.7054775, 47.88127645)",279.9333572583273,,"[(11.7053359, 47.8813383), (11.7056277, 47.8813297), (11.7056191, 47.8812146), (11.7053273, 47.8812232), (11.7053359, 47.8813383)]",oberbayern-houses_762,41696.073563627855
"(11.331486818883615, 48.776946447081194)",279.89647424966097,,"[(11.331642, 48.7769778), (11.3314142, 48.7770421), (11.3313316, 48.7769151), (11.3315595, 48.7768508), (11.331642, 48.7769778)]",oberbayern-houses_923,41690.579839487
"(11.70302966000318, 48.06316935817405)",505.2201270983787,False,"[(11.7028683, 48.0632747), (11.7029603, 48.0632793), (11.7029628, 48.0632565), (11.7030107, 48.0632589), (11.7030102, 48.0632634), (11.703048, 48.0632947), (11.7030758, 48.063279), (11.7031478, 48.0632826), (11.7031613, 48.0632725), (11.7031738, 48.0631613), (11.7031534, 48.0631385), (11.7031636, 48.0630477), (11.702987, 48.0630389), (11.7029806, 48.0630966), (11.7028888, 48.063092), (11.7028683, 48.0632747)]",oberbayern-houses_549,41670.24032049484
"(11.448167509675365, 48.81271232278672)",279.52816942706704,,"[(11.4480831, 48.8128043), (11.4480498, 48.8126379), (11.4482519, 48.8126203), (11.4482852, 48.8127868), (11.4480831, 48.8128043)]",oberbayern-houses_908,41541.38007898
"(11.444634050000003, 48.814522350000004)",279.26060508936644,,"[(11.4445387, 48.8146105), (11.4444791, 48.8144863), (11.4447294, 48.8144342), (11.444789, 48.8145584), (11.4445387, 48.8146105)]",oberbayern-houses_473,41501.61667384347
"(11.459383549999998, 48.81101820000001)",278.8365347199142,,"[(11.4594892, 48.8110996), (11.4592834, 48.8111026), (11.4592779, 48.8109368), (11.4594837, 48.8109338), (11.4594892, 48.8110996)]",oberbayern-houses_176,41438.59451606325
"(11.297754472791596, 48.09651073818029)",272.2402698881924,,"[(11.2975909, 48.0964926), (11.2977066, 48.0964182), (11.297761, 48.0964559), (11.2977972, 48.0964327), (11.2979177, 48.0965163), (11.2978186, 48.0965799), (11.2977658, 48.0966139), (11.2975909, 48.0964926)]",oberbayern-houses_340,41438.37208035649
"(11.449754561390424, 48.81353037326337)",275.4304830804467,,"[(11.4498749, 48.8136001), (11.4498503, 48.8134457), (11.4496342, 48.8134607), (11.4496588, 48.813615), (11.4498749, 48.8136001)]",oberbayern-houses_173,40932.41266679289
"(11.447403331253126, 48.81423395730562)",274.92388294357806,,"[(11.4473928, 48.8143406), (11.4473834, 48.8142907), (11.4473082, 48.8142968), (11.4472847, 48.8141715), (11.4473354, 48.8141674), (11.4473312, 48.8141449), (11.447473, 48.8141334), (11.44751, 48.8143311), (11.4473928, 48.8143406)]",oberbayern-houses_198,40857.125553952494
"(11.446823602573874, 48.81372132278259)",274.6652600541711,,"[(11.4466809, 48.8137833), (11.4469752, 48.8137733), (11.4469664, 48.8136594), (11.446672, 48.8136693), (11.4466809, 48.8137833)]",oberbayern-houses_824,40818.6909598005
"(11.455955224944201, 48.81356059416508)",273.4120138192666,,"[(11.4558463, 48.8136374), (11.4558455, 48.8134843), (11.4560642, 48.8134838), (11.4560649, 48.8136369), (11.4558463, 48.8136374)]",oberbayern-houses_509,40632.44290371575
"(11.454184050000002, 48.81424535)",272.0434735501185,,"[(11.4540629, 48.8143139), (11.4540649, 48.8141753), (11.4543052, 48.8141768), (11.4543032, 48.8143154), (11.4540629, 48.8143139)]",oberbayern-houses_489,40429.06071296698
"(11.445693295616435, 48.81339918391809)",271.7751345746219,,"[(11.4458354, 48.8134422), (11.4455704, 48.8134831), (11.4455365, 48.8133879), (11.4456593, 48.813369), (11.4456435, 48.8133246), (11.4457858, 48.8133026), (11.4458354, 48.8134422)]",oberbayern-houses_487,40389.182186971
"(11.451668, 48.8151966)",272.3042958639562,,"[(11.4515759, 48.8152822), (11.4515448, 48.8151301), (11.4517601, 48.815111), (11.4517912, 48.8152631), (11.4515759, 48.8152822)]",oberbayern-houses_415,40375.9194692281
